season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2006,5578,,,,,,2229,Florida International Panthers,averages,AST,avgAssists,Assists Per Game,The average assists per game.,3.0,3.0
2006,5578,,,,,,2229,Florida International Panthers,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.0,1.0
2006,5578,,,,,,2229,Florida International Panthers,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.0,0.0
2006,5578,,,,,,2229,Florida International Panthers,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,7.0,7.0
2006,5578,,,,,,2229,Florida International Panthers,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,4.0-8.0,
2006,5578,,,,,,2229,Florida International Panthers,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,50.0,50.0
2006,5578,,,,,,2229,Florida International Panthers,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.0-0.0,
2006,5578,,,,,,2229,Florida International Panthers,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2006,5578,,,,,,2229,Florida International Panthers,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,3.0-8.0,
2006,5578,,,,,,2229,Florida International Panthers,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,37.5,37.5
2006,5578,,,,,,2229,Florida International Panthers,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,1.0,1.0
2006,5578,,,,,,2229,Florida International Panthers,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,4.0,4.0
2006,5578,,,,,,2229,Florida International Panthers,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,9.0,9.0
2006,5578,,,,,,2229,Florida International Panthers,totals,PTS,points,Points,The number of points scored.,11,11.0
2006,5578,,,,,,2229,Florida International Panthers,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,4,4.0
2006,5578,,,,,,2229,Florida International Panthers,totals,DR,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,9,9.0
2006,5578,,,,,,2229,Florida International Panthers,totals,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,13,13.0
2006,5578,,,,,,2229,Florida International Panthers,totals,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",3,3.0
2006,5578,,,,,,2229,Florida International Panthers,totals,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,1,1.0
2006,5578,,,,,,2229,Florida International Panthers,totals,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",0,0.0
2006,5578,,,,,,2229,Florida International Panthers,totals,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,7,7.0
2006,5578,,,,,,2229,Florida International Panthers,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,4-8,
2006,5578,,,,,,2229,Florida International Panthers,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,50.0,50.0
